Motorname,Stall Torque [Nm],Nominal Power [W],Nominal Torque  [Nm],Nominal speed [rpm],Peak torque 20C [Nm],Current at nominal power [Arms],Stall current [Arms],Peak current [Arms],Inertia [kgcm2],Voltage costant at 20�C [Vs/rad],Torque costant at 20�C and 0 rpm [Nm/Arms],Derating Temp. Coeff. Of Back EMF [%/�C],Winding Resistance at 20�C [Ohm],Winding Inductance 2[mH],bemf. at 1000 rpm a 20�C [V/krpm],Nominal voltage [Vrms],Weight [kg],Pole pairs
077304,34,6692,21.3,3000,88,13.4,20.9,55.0,24.98,1.03,1.73,-0.11,0.419,3.09,108,311,23.6,4
078304,39,6974,22.2,3000,100,13.9,23.5,61.8,28.27,1.04,1.75,-0.11,0.361,2.94,109,313,26,4
082304,33,9268,29.5,3000,88,18.8,20.2,55.1,49.00,1.00,1.68,-0.11,0.49,5.3,105,322,30,4
084304,60,13823,44.0,3000,165,30.9,40.9,114.0,89.00,0.91,1.52,-0.11,0.15,2.19,95,281,43,4
086304,82,16650,53.0,3000,239,31.0,46.6,137.0,128.00,1.09,1.83,-0.11,0.13,2.11,114,331,54,4
088304,102,20420,65.0,3000,290,38.0,58.0,166.0,167.00,1.09,1.83,-0.11,0.09,1.58,114,329,68,4
092304,100,18850,60.0,3000,168,34.8,54.0,95.8,224.00,1.17,1.96,-0.11,0.1,2.4,122,358,75,4
092304,151,29217,93.0,3000,168,54.0,81.5,95.8,224.00,1.17,1.96,-0.11,0.1,2.4,122,376,75,4
094304,182,14137,45.0,3000,295,26.1,98.2,168.3,401.00,1.17,1.96,-0.11,0.038,1.2,122,344,109,4
094304,270,47124,150.0,3000,295,87.1,145.8,168.3,401.00,1.17,1.96,-0.11,0.038,1.2,122,364,109,4
096304,270,0,0.0,3000,440,0.0,143.0,251.0,577.00,1.17,1.96,-0.11,0.022,0.8,122,341,143,4
096304,400,70686,225.0,3000,440,130.6,215.9,251.0,577.00,1.17,1.96,-0.11,0.022,0.8,122,363,143,4
098304,340,0,0.0,3000,530,0.0,183.5,302.3,753.00,1.17,1.96,-0.11,0.015,0.6,122,341,177,4
098304,493,76969,245.0,3000,530,142.2,266.1,302.3,753.00,1.17,1.96,-0.11,0.015,0.6,122,356,177,4
V71154,8,1166,7.4,1500,16,2.5,2.7,5.4,5.23,1.90,3.19,-0.11,23.58,88.3,199,371,11.5,4
V72154,15,2296,14.6,1500,31,4.9,5.0,10.3,8.52,1.94,3.26,-0.11,8.02,50.2,203,357,14,4
V73154,23,3456,22.0,1500,45,7.1,7.2,14.5,11.82,2.00,3.36,-0.11,4.635,32.3,210,356,16.7,4
V74154,31,4555,29.0,1500,58,9.0,9.3,17.9,15.10,2.08,3.49,-0.11,3.4,26.4,218,365,19.1,4
V75154,37,5341,34.0,1500,76,11.1,11.6,24.4,18.40,1.99,3.35,-0.11,2.34,18.76,209,342,21.9,4
V76154,42,6126,39.0,1500,89,12.5,12.9,28.3,21.69,2.03,3.41,-0.11,1.93,15.5,212,342,24.3,4
V77154,48,6959,44.3,1500,105,14.4,15.0,33.9,24.98,2.00,3.36,-0.11,1.59,13.3,210,337,27.1,4
V78154,54,7697,49.0,1500,120,15.8,16.8,38.4,28.27,2.01,3.38,-0.11,1.37,10.7,210,333,29.5,4
V82104,45,4472,42.7,1000,100,9.1,9.3,21.9,49,2.99,5.03,-0.11,4.86,47.8,314,380,37,4
V84104,89,9111,87.0,1000,218,20.4,20.2,52,89,2.72,4.57,-0.11,1.34,19.8,285,332,49,4
V86104,130,12985,124.0,1000,300,26.4,26.9,66,128,2.99,5.03,-0.11,0.9,15.9,314,355,64,4
V88104,163,16127,154.0,1000,400,33.8,34.7,90,167,2.90,4.88,-0.11,0.62,11.2,304,338,78,4
V92104,145,14975,143.0,1000,305,33.2,31.3,69.5,224,2.92,4.91,-0.11,0.636,13.21,306,349,89,4
V94104,310,30369,290.0,1000,620,63.1,62.8,133,401,3.12,5.24,-0.11,0.259,6.5,326,356,126,4
V96104,440,41364,395.0,1000,840,91.7,95.0,192,577,2.92,4.91,-0.11,0.155,4.41,306,336,164,4
V98104,580,55501,530.0,1000,1100,115.4,117.4,235,753,3.12,5.24,-0.11,0.115,4.26,326,366,203,4
V94154,310,40841,260.0,1500,520,89.0,100.0,177,401,1.95,3.27,-0.11,0.1,3.2,198,333,126,4
V96154,440,58591,373.0,1500,840,124.0,136.0,274,577,2.05,3.44,-0.11,0.07,,,343,164,4
V97154,470,62831,400.0,1500,816,132.0,144.0,265,665,2.04,3.43,-0.11,0.057,1.86,214,336,184,4
V98154,520,72257,460.0,1500,880,132.0,140.0,251,753,2.34,3.93,-0.11,0.06,2.29,245,388,203,4
V71204,8,1466,7.0,2000,15,3.0,3.4,6.5,5.23,1.50,2.52,-0.11,14.72,58,157,369,11.5,4
V72204,15,2932,14.0,2000,31,6.1,6.5,13.2,8.52,1.49,2.50,-0.11,4.6,29.3,156,349,14,4
V73204,23,4503,21.5,2000,46,9.4,9.7,20.1,11.82,1.48,2.49,-0.11,2.55,18.14,155,341,16.7,4
V74204,31,5864,28.0,2000,60,11.9,12.7,25.3,15.10,1.52,2.56,-0.11,1.83,14.2,160,346,19.1,4
V75204,37,6807,32.5,2000,73,13.5,14.8,30.2,18.40,1.56,2.62,-0.11,1.43,10.96,163,345,21.9,4
V76204,42,7854,37.5,2000,91,16.1,17.4,38.8,21.69,1.51,2.53,-0.11,1.07,9.3,158,333,24.3,4
V77204,48,8796,42.0,2000,106,18.0,19.8,44.8,24.98,1.52,2.55,-0.11,0.905,7.81,159,331,27.1,4
V78204,54,9844,47.0,2000,120,20.0,22.1,50.6,28.27,1.52,2.56,-0.11,0.782,5.86,160,327,29.5,4
V82204,45,8796,42.0,2000,100,19.7,20.5,48.1,49,1.36,2.29,-0.11,0.95,9.9,143,321,37,4
V84204,89,17802,85.0,2000,218,37.3,37.9,98,89,1.45,2.44,-0.11,0.39,5.6,152,336,49,4
V86204,130,24714,118.0,2000,300,55.2,59.1,144,128,1.36,2.29,-0.11,0.19,3.3,143,308,64,4
